Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
cq-file12 F: 18624.87 16685.98 89.58% MT_Project F:\Projects\MayaTheBee\Project
cq-file12 F: 18624.87 16685.98 89.58% LR_Compositing F:\Projects\LR_Compositing
cq-file12 F: 18624.87 16685.98 89.58% TB_Render F:\Projects\Tofuboy\Production\Render
cq-file12 F: 18624.87 16685.98 89.58% editing F:\editing
cq-file12 F: 18624.87 16685.98 89.58% Daily_SK F:\Dailies\Strawberry
idmt-filea E: 683.09 8.93 1.306% Resource E:\Resource
idmt-filea E: 683.09 8.93 1.306% scenes X:\scenes
idmt-filea X: 545.91 500.20 91.62% Resource E:\Resource
idmt-filea X: 545.91 500.20 91.62% scenes X:\scenes
idmt-filec E: 1117.49 102.57 9.178% metadata H:\metadata
idmt-filec E: 1117.49 102.57 9.178% DBBackup F:\DBBackup
idmt-filec E: 1117.49 102.57 9.178% works_demo G:\Resource\works_demo
idmt-filec E: 1117.49 102.57 9.178% TB_Daily F:\Dailies\Tofuboy
idmt-filec E: 1117.49 102.57 9.178% MT_Daily F:\Dailies\MayaTheBee
idmt-filec E: 1117.49 102.57 9.178% Resource_other H:\Resource_other
idmt-filec E: 1117.49 102.57 9.178% Resource_Leader H:\Resource_Leader
idmt-filec E: 1117.49 102.57 9.178% mayadoc G:\mayadoc
idmt-filec E: 1117.49 102.57 9.178% Exam G:\Resource\Exam
idmt-filec E: 1117.49 102.57 9.178% ExamW G:\Resource\Exam\uploads\W
idmt-filec E: 1117.49 102.57 9.178% cmr E:\Groups\cmr
idmt-filec E: 1117.49 102.57 9.178% Resource_invitee H:\Resource_invitee
idmt-filec E: 1117.49 102.57 9.178% Lib_Scratch G:\Resource\Lib_Scratch
idmt-filec E: 1117.49 102.57 9.178% web E:\Groups\web
idmt-filec E: 1117.49 102.57 9.178% Resource_Evaluate H:\Resource_Evaluate
idmt-filec E: 1117.49 102.57 9.178% develope E:\Groups\develope
idmt-filec E: 1117.49 102.57 9.178% ExamA G:\Resource\Exam\uploads\A
idmt-filec E: 1117.49 102.57 9.178% Daily_LR F:\Dailies\LORDoftheRINGS
idmt-filec E: 1117.49 102.57 9.178% Dailies F:\Dailies
idmt-filec E: 1117.49 102.57 9.178% ExamO G:\Resource\Exam\uploads\O
idmt-filec E: 1117.49 102.57 9.178% Lib_Final G:\Resource\Lib_Final
idmt-filec F: 1117.49 544.49 48.72% metadata H:\metadata
